/* DATA DESCRIPTION:
Citation:	Beddow, HM et al. (2016): Isotope ratios versus age in composite core 320-U1134. doi:10.1594/PANGAEA.858328, 
	In Supplement to: Beddow, Helen M; Liebrand, Diederik; Sluijs, Appy; Wade, Bridget S; Lourens, Lucas Joost (2016): Global change across the Oligocene-Miocene transition: High-resolution stable isotope records from IODP Site U1334 (equatorial Pacific Ocean). Paleoceanography, 31(1), 81-97, doi:10.1002/2015PA002820
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 7.999000 * LONGITUDE: -131.973000
	MINIMUM ELEVATION: -4799.9 m * MAXIMUM ELEVATION: -4799.9 m
Event(s):	320-U1334 * LATITUDE: 7.999000 * LONGITUDE: -131.973000 * ELEVATION: -4799.9 m * CAMPAIGN: Exp320 (Pacific Equatorial Age Transect I) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Beddow, Helen M
	AGE [ka BP] (Age) * GEOCODE * PI: Beddow, Helen M
	delta 13C [per mil PDB] (d13C) * PI: Beddow, Helen M
	delta 18O [per mil] (d18O) * PI: Beddow, Helen M * METHOD: predicted
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1842 data points
*/
Depth corr cr [crmcd]	Age [ka BP]	d13C [per mil PDB]	d18O [per mil]
88.955	21913.138	1.15	1.81
88.995	21916.473	1.11	1.78
89.035	21919.804	0.84	1.29
89.075	21923.131	0.90	1.80
89.115	21926.455	0.76	1.72
89.195	21933.092	0.86	1.49
89.235	21936.405	0.97	1.49
89.275	21939.714	0.77	1.49
89.315	21943.020	0.75	1.64
89.395	21949.621	0.88	1.71
89.415	21951.269	0.91	1.81
89.515	21959.496	0.69	1.28
89.535	21961.139	0.75	1.26
89.555	21962.781	0.96	1.33
89.595	21966.062	1.23	1.72
89.635	21969.339	0.79	1.37
89.675	21972.613	1.11	1.81
89.715	21975.884	0.97	1.31
89.735	21977.518	1.48	1.85
89.795	21982.415	1.32	1.52
89.835	21985.675	1.05	1.90
89.875	21988.931	1.15	2.10
89.915	21992.185	1.30	1.89
89.955	21995.434	1.28	1.73
90.035	22001.924	0.67	2.01
90.075	22005.163	1.29	2.01
90.115	22008.399	1.16	1.85
90.155	22011.632	1.34	2.09
90.195	22014.861	1.25	1.90
90.255	22019.699	1.08	1.83
90.265	22020.505	1.11	1.94
90.275	22021.310	0.88	1.82
90.285	22022.115	1.02	1.86
90.295	22022.920	0.91	1.83
90.305	22023.725	1.16	1.86
90.315	22024.529	1.16	1.83
90.435	22034.167	1.10	1.73
90.475	22037.372	1.02	1.74
90.515	22040.575	1.08	1.72
90.555	22043.774	1.67	2.08
90.635	22050.162	0.87	1.41
90.675	22053.352	1.03	1.55
90.715	22056.538	1.14	1.66
90.795	22062.900	1.14	1.48
90.835	22066.076	1.07	1.63
