/* DATA DESCRIPTION:
Citation:	Holbourn, A et al. (2015): Miocene stable isotope record of benthic foraminifera from IODP Site 321-U1337. doi:10.1594/PANGAEA.839740, 
	In Supplement to: Holbourn, Ann; Kuhnt, Wolfgang; Kochhann, Karlos GD; Andersen, Nils; Meier, KJ Sebastian (2015): Global perturbation of the carbon cycle at the onset of the Miocene Climatic Optimum. Geology, 43(2), 123-126, doi:10.1130/G36317.1
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 3.833000 * LONGITUDE: -123.206000
	MINIMUM DEPTH, sediment/rock: 298.130 m * MAXIMUM DEPTH, sediment/rock: 404.930 m
Event(s):	321-U1337 * LATITUDE: 3.833000 * LONGITUDE: -123.206000 * ELEVATION: -4476.0 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment/rock is given in mbsf.
Parameter(s):	Sample code/label (Label) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, bottom/max [m] (Depth bot) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, composite top [mcd] (Depth c top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de)
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic d13C [per mil PDB] (Foram bent d13C) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6348 data points
*/
Label	Depth [m]	Depth top [m]	Depth bot [m]	Depth c top [mcd]	Age [ka BP]	Foram bent d13C [per mil PDB]	Foram bent d18O [per mil PDB]
321-U1337C-18X-1,2-4	298.130	298.12	298.14	334.36	14837	1.245	1.559
321-U1337C-18X-1,12-14	298.230	298.22	298.24	334.46	14842	1.272	1.645
321-U1337C-18X-1,22-24	298.330	298.32	298.34	334.56	14847	1.427	1.728
321-U1337C-18X-1,32-34	298.430	298.42	298.44	334.66	14852	1.460	1.462
321-U1337C-18X-1,42-44	298.530	298.52	298.54	334.76	14856	1.514	1.566
321-U1337C-18X-1,52-54	298.630	298.62	298.64	334.86	14861	1.590	1.543
321-U1337C-18X-1,62-64	298.730	298.72	298.74	334.96	14866	1.367	1.404
321-U1337C-18X-1,72-74	298.830	298.82	298.84	335.06	14871	1.193	1.255
321-U1337C-18X-1,82-84	298.930	298.92	298.94	335.16	14876	1.156	1.129
321-U1337C-18X-1,92-94	299.030	299.02	299.04	335.26	14881	1.112	1.308
321-U1337C-18X-1,102-104	299.130	299.12	299.14	335.36	14886	1.138	1.340
321-U1337C-18X-1,112-114	299.230	299.22	299.24	335.46	14891	1.249	1.517
321-U1337C-18X-1,122-124	299.330	299.32	299.34	335.56	14895	1.378	1.462
321-U1337C-18X-1,132-134	299.430	299.42	299.44	335.66	14900	1.327	1.382
321-U1337C-18X-1,142-144	299.530	299.52	299.54	335.76	14905	1.218	1.296
321-U1337C-18X-2,2-4	299.630	299.62	299.64	335.86	14910	1.437	1.169
321-U1337C-18X-2,12-14	299.730	299.72	299.74	335.96	14915	1.403	1.293
321-U1337C-18X-2,22-24	299.830	299.82	299.84	336.06	14920	1.435	1.575
321-U1337C-18X-2,32-34	299.930	299.92	299.94	336.16	14925	1.255	1.200
321-U1337C-18X-2,42-44	300.030	300.02	300.04	336.26	14930	1.410	1.351
321-U1337C-18X-2,52-54	300.130	300.12	300.14	336.36	14934	1.212	1.366
321-U1337C-18X-2,62-64	300.230	300.22	300.24	336.46	14939	0.975	1.037
321-U1337C-18X-2,72-74	300.330	300.32	300.34	336.56	14944	1.221	1.511
321-U1337C-18X-2,82-84	300.430	300.42	300.44	336.66	14949	1.160	0.937
321-U1337C-18X-2,92-94	300.530	300.52	300.54	336.76	14954	1.324	1.146
321-U1337C-18X-2,102-104	300.630	300.62	300.64	336.86	14959	1.468	1.668
321-U1337C-18X-2,112-114	300.730	300.72	300.74	336.96	14964	1.143	1.437
321-U1337C-18X-2,122-124	300.830	300.82	300.84	337.06	14968	1.164	1.413
321-U1337C-18X-2,132-134	300.930	300.92	300.94	337.16	14973	1.404	1.460
321-U1337C-18X-2,142-144	301.030	301.02	301.04	337.26	14978	1.647	1.240
321-U1337C-18X-3,2-4	301.130	301.12	301.14	337.36	14983	1.414	1.118
321-U1337C-18X-3,12-14	301.230	301.22	301.24	337.46	14988	1.399	1.495
321-U1337C-18X-3,22-24	301.330	301.32	301.34	337.56	14993	1.411	1.628
321-U1337C-18X-3,32-34	301.430	301.42	301.44	337.66	14998	1.467	1.614
321-U1337C-18X-3,42-44	301.530	301.52	301.54	337.76	15003	1.476	1.473
321-U1337C-18X-3,52-54	301.630	301.62	301.64	337.86	15007	1.434	1.404
321-U1337C-18X-3,62-64	301.730	301.72	301.74	337.96	15012	1.588	1.213
321-U1337C-18X-3,72-74	301.830	301.82	301.84	338.06	15017	1.590	1.450
321-U1337C-18X-3,82-84	301.930	301.92	301.94	338.16	15022	1.496	1.733
321-U1337C-18X-3,92-94	302.030	302.02	302.04	338.26	15027	1.290	1.227
321-U1337C-18X-3,102-104	302.130	302.12	302.14	338.36	15032	1.242	1.321
321-U1337C-18X-3,112-114	302.230	302.22	302.24	338.46	15037	1.454	1.642
321-U1337C-18X-3,122-124	302.330	302.32	302.34	338.56	15042	1.438	1.234
321-U1337C-18X-3,132-134	302.430	302.42	302.44	338.66	15046	1.427	1.287
321-U1337C-18X-3,142-144	302.530	302.52	302.54	338.76	15051	1.303	1.501
321-U1337C-18X-4,2-4	302.630	302.62	302.64	338.86	15056	1.588	1.538
321-U1337C-18X-4,12-14	302.730	302.72	302.74	338.96	15061	1.643	1.489
321-U1337C-18X-4,22-24	302.830	302.82	302.84	339.06	15066	1.692	1.272
321-U1337C-18X-4,32-34	302.930	302.92	302.94	339.16	15071	1.700	1.193
321-U1337C-18X-4,44-46	303.050	303.04	303.06	339.28	15077	1.425	1.088
321-U1337C-18X-4,52-54	303.130	303.12	303.14	339.36	15081	1.432	1.049
321-U1337C-18X-4,62-64	303.230	303.22	303.24	339.46	15087	1.448	1.270
321-U1337C-18X-4,72-74	303.330	303.32	303.34	339.56	15093	1.573	1.501
321-U1337C-18X-4,82-84	303.430	303.42	303.44	339.66	15100	1.677	1.424
321-U1337C-18X-4,92-94	303.530	303.52	303.54	339.76	15106	1.591	1.312
321-U1337C-18X-4,102-104	303.630	303.62	303.64	339.86	15113	1.584	1.343
321-U1337C-18X-4,112-114	303.730	303.72	303.74	339.96	15119	1.339	1.125
321-U1337C-18X-4,122-124	303.830	303.82	303.84	340.06	15125	1.373	1.553
321-U1337C-18X-4,132-134	303.930	303.92	303.94	340.16	15131	1.515	1.638
321-U1337C-18X-4,142-144	304.030	304.02	304.04	340.26	15138	1.346	1.521
321-U1337C-18X-5,2-4	304.130	304.12	304.14	340.36	15144	1.234	1.417
321-U1337C-18X-5,12-14	304.230	304.22	304.24	340.46	15150	1.318	1.214
321-U1337C-18X-5,22-24	304.330	304.32	304.34	340.56	15156	1.250	1.289
321-U1337C-18X-5,32-34	304.430	304.42	304.44	340.66	15162	1.177	1.640
321-U1337C-18X-5,42-44	304.530	304.52	304.54	340.76	15169	1.283	1.516
321-U1337C-18X-5,52-54	304.630	304.62	304.64	340.86	15175	1.138	1.344
321-U1337C-18X-5,62-64	304.730	304.72	304.74	340.96	15181	1.101	1.086
321-U1337C-18X-5,72-74	304.830	304.82	304.84	341.06	15187	1.443	1.113
321-U1337C-18X-5,82-84	304.930	304.92	304.94	341.16	15193	0.850	0.760
321-U1337C-18X-5,92-94	305.030	305.02	305.04	341.26	15198	1.191	1.138
321-U1337C-18X-5,102-104	305.130	305.12	305.14	341.36	15204	1.294	1.329
321-U1337C-18X-5,112-114	305.230	305.22	305.24	341.46	15208	1.087	1.080
321-U1337C-18X-5,122-124	305.330	305.32	305.34	341.56	15214	1.354	1.216
321-U1337C-18X-5,132-134	305.430	305.42	305.44	341.66	15219	1.107	1.081
321-U1337C-18X-5,142-144	305.530	305.52	305.54	341.76	15224	1.093	1.214
321-U1337C-18X-6,2-4	305.630	305.62	305.64	341.86	15229	1.504	1.268
321-U1337C-18X-6,12-14	305.730	305.72	305.74	341.96	15233	1.180	1.049
321-U1337C-18X-6,22-24	305.830	305.82	305.84	342.06	15240	0.913	1.175
321-U1337C-18X-6,32-34	305.930	305.92	305.94	342.16	15247	1.276	1.518
321-U1337C-18X-6,42-44	306.030	306.02	306.04	342.26	15254	1.475	1.850
321-U1337C-18X-6,52-54	306.130	306.12	306.14	342.36	15261	1.543	1.718
321-U1337C-18X-6,62-64	306.230	306.22	306.24	342.46	15268	1.301	1.326
321-U1337C-18X-6,72-74	306.330	306.32	306.34	342.56	15275	1.338	1.586
321-U1337A-34X-3,22-24	312.530	312.52	312.54	342.62	15279	1.330	1.390
321-U1337A-34X-3,32-34	312.630	312.62	312.64	342.72	15286	1.280	1.100
321-U1337A-34X-3,42-44	312.730	312.72	312.74	342.82	15290	1.150	1.110
321-U1337A-34X-3,52-54	312.830	312.82	312.84	342.92	15294	1.340	1.480
321-U1337A-34X-3,62-64	312.930	312.92	312.94	343.02	15298	1.330	1.530
321-U1337A-34X-3,72-74	313.030	313.02	313.04	343.12	15302	1.320	1.430
321-U1337A-34X-3,82-84	313.130	313.12	313.14	343.22	15306	1.230	1.380
321-U1337A-34X-3,92-94	313.230	313.22	313.24	343.32	15309	1.140	1.370
321-U1337A-34X-3,102-104	313.330	313.32	313.34	343.42	15313	1.350	1.440
321-U1337A-34X-3,112-114	313.430	313.42	313.44	343.52	15317	1.480	1.680
321-U1337A-34X-3,122-124	313.530	313.52	313.54	343.62	15321	1.430	1.230
321-U1337A-34X-3,132-134	313.630	313.62	313.64	343.72	15325	1.460	1.060
321-U1337A-34X-4,2-4	313.830	313.82	313.84	343.92	15332	1.280	1.400
321-U1337A-34X-4,12-14	313.930	313.92	313.94	344.02	15336	1.420	1.760
321-U1337A-34X-4,22-24	314.030	314.02	314.04	344.12	15339	1.370	1.690
321-U1337A-34X-4,32-34	314.130	314.12	314.14	344.22	15343	1.390	1.300
321-U1337A-34X-4,42-44	314.230	314.22	314.24	344.32	15346	1.600	1.270
321-U1337A-34X-4,52-54	314.330	314.32	314.34	344.42	15350	1.450	1.220
321-U1337A-34X-4,62-64	314.430	314.42	314.44	344.52	15353	1.300	1.660
321-U1337A-34X-4,72-74	314.530	314.52	314.54	344.62	15357	1.470	1.410
321-U1337A-34X-4,82-84	314.630	314.62	314.64	344.72	15360	1.610	1.120
321-U1337A-34X-4,92-94	314.730	314.72	314.74	344.82	15364	1.460	1.550
321-U1337A-34X-4,102-104	314.830	314.82	314.84	344.92	15367	1.130	1.110
321-U1337A-34X-4,112-114	314.930	314.92	314.94	345.02	15371	1.360	1.630
321-U1337A-34X-4,122-124	315.030	315.02	315.04	345.12	15374	1.570	1.660
321-U1337A-34X-4,132-134	315.130	315.12	315.14	345.22	15378	1.520	1.560
321-U1337A-34X-4,142-144	315.230	315.22	315.24	345.32	15381	1.490	1.520
321-U1337A-34X-5,2-4	315.330	315.32	315.34	345.42	15385	1.520	1.490
321-U1337A-34X-5,12-14	315.430	315.42	315.44	345.52	15388	1.620	1.330
321-U1337A-34X-5,22-24	315.530	315.52	315.54	345.62	15392	1.370	1.190
321-U1337A-34X-5,32-34	315.630	315.62	315.64	345.72	15395	1.350	1.160
321-U1337A-34X-5,42-44	315.730	315.72	315.74	345.82	15399	1.520	1.110
321-U1337A-34X-5,52-54	315.830	315.82	315.84	345.92	15402	1.050	1.040
321-U1337A-34X-5,62-64	315.930	315.92	315.94	346.02	15405	1.260	1.230
321-U1337A-34X-5,72-74	316.030	316.02	316.04	346.12	15408	1.630	1.470
321-U1337A-34X-5,82-84	316.130	316.12	316.14	346.22	15411	1.470	1.280
321-U1337C-19X-2,82-84	310.030	310.02	310.04	346.26	15412	1.653	1.502
321-U1337C-19X-2,92-94	310.130	310.12	310.14	346.36	15415	1.701	1.556
321-U1337C-19X-2,102-104	310.230	310.22	310.24	346.46	15418	1.642	1.531
321-U1337C-19X-3,2-4	310.730	310.72	310.74	346.96	15433	1.521	1.843
321-U1337C-19X-3,12-14	310.830	310.82	310.84	347.06	15436	1.654	1.871
321-U1337C-19X-3,22-24	310.930	310.92	310.94	347.16	15439	1.610	1.884
321-U1337C-19X-3,32-34	311.030	311.02	311.04	347.26	15442	1.665	1.745
321-U1337C-19X-3,43-45	311.140	311.13	311.15	347.37	15445	1.733	1.806
321-U1337C-19X-3,52-54	311.230	311.22	311.24	347.46	15448	1.713	1.624
321-U1337C-19X-3,62-64	311.330	311.32	311.34	347.56	15451	1.555	1.278
321-U1337C-19X-3,72-74	311.430	311.42	311.44	347.66	15454	1.723	1.478
321-U1337C-19X-3,82-84	311.530	311.52	311.54	347.76	15457	1.572	1.229
321-U1337C-19X-3,92-94	311.630	311.62	311.64	347.86	15460	1.406	1.189
321-U1337C-19X-3,102-104	311.730	311.72	311.74	347.96	15462	1.323	1.058
321-U1337C-19X-3,112-114	311.830	311.82	311.84	348.06	15465	1.332	1.255
321-U1337C-19X-3,122-124	311.930	311.92	311.94	348.16	15468	1.616	1.876
321-U1337C-19X-3,132-134	312.030	312.02	312.04	348.26	15471	1.477	1.521
321-U1337C-19X-3,142-144	312.130	312.12	312.14	348.36	15474	1.502	1.291
321-U1337C-19X-4,2-4	312.230	312.22	312.24	348.46	15477	1.407	1.187
321-U1337C-19X-4,13-15	312.340	312.33	312.35	348.57	15481	1.684	1.205
321-U1337C-19X-4,22-24	312.430	312.42	312.44	348.66	15485	1.465	1.163
321-U1337C-19X-4,32-34	312.530	312.52	312.54	348.76	15489	1.063	1.005
321-U1337C-19X-4,42-44	312.630	312.62	312.64	348.86	15493	1.015	0.962
321-U1337C-19X-4,50-52	312.710	312.70	312.72	348.94	15496	1.527	1.705
321-U1337C-19X-4,62-64	312.830	312.82	312.84	349.06	15501	1.396	1.536
321-U1337C-19X-4,72-74	312.930	312.92	312.94	349.16	15506	1.504	1.672
321-U1337C-19X-4,82-84	313.030	313.02	313.04	349.26	15510	1.548	1.511
321-U1337C-19X-4,92-94	313.130	313.12	313.14	349.36	15514	1.307	1.297
321-U1337C-19X-4,103-105	313.240	313.23	313.25	349.47	15518	1.431	1.449
321-U1337C-19X-4,112-114	313.330	313.32	313.34	349.56	15522	1.370	1.469
321-U1337C-19X-4,122-124	313.430	313.42	313.44	349.66	15526	1.482	1.538
321-U1337C-19X-4,132-134	313.530	313.52	313.54	349.76	15530	1.569	1.562
321-U1337C-19X-4,142-144	313.630	313.62	313.64	349.86	15535	1.492	1.589
321-U1337C-19X-5,2-4	313.730	313.72	313.74	349.96	15539	1.571	1.659
321-U1337C-19X-5,12-14	313.830	313.82	313.84	350.06	15543	1.494	1.589
321-U1337C-19X-5,23-25	313.940	313.93	313.95	350.17	15547	1.445	1.493
321-U1337A-35X-2,32-34	320.730	320.72	320.74	350.21	15549	1.329	1.589
321-U1337A-35X-2,42-44	320.830	320.82	320.84	350.31	15553	1.426	1.837
321-U1337A-35X-2,52-54	320.930	320.92	320.94	350.41	15557	1.246	1.466
321-U1337A-35X-2,62-64	321.030	321.02	321.04	350.51	15562	1.136	1.185
321-U1337A-35X-2,72-74	321.130	321.12	321.14	350.61	15566	0.725	0.651
321-U1337A-35X-2,82-84	321.230	321.22	321.24	350.71	15570	0.707	0.543
321-U1337A-35X-2,92-94	321.330	321.32	321.34	350.81	15572	0.800	0.776
321-U1337A-35X-2,102-104	321.430	321.42	321.44	350.91	15575	1.242	1.203
321-U1337A-35X-2,112-114	321.530	321.52	321.54	351.01	15578	0.861	0.662
321-U1337A-35X-2,122-124	321.630	321.62	321.64	351.11	15581	0.763	0.551
321-U1337A-35X-2,132-134	321.730	321.72	321.74	351.21	15584	0.606	0.559
321-U1337A-35X-2,142-144	321.830	321.82	321.84	351.31	15587	1.135	0.909
321-U1337A-35X-3,2-4	321.930	321.92	321.94	351.41	15590	0.956	0.816
321-U1337A-35X-3,12-14	322.030	322.02	322.04	351.51	15593	0.664	0.386
321-U1337A-35X-3,22-24	322.130	322.12	322.14	351.61	15597	0.538	0.515
321-U1337D-36X-2,72-74	316.730	316.72	316.74	351.63	15598	1.120	0.760
321-U1337D-36X-2,82-84	316.830	316.82	316.84	351.73	15603	0.820	0.490
321-U1337D-36X-2,92-94	316.930	316.92	316.94	351.83	15608	0.970	1.070
321-U1337D-36X-2,102-104	317.030	317.02	317.04	351.93	15613	1.250	1.410
321-U1337D-36X-2,112-114	317.130	317.12	317.14	352.03	15617	1.480	1.730
