Site,Hole,Core,Type,Section,top(cm),Species,CSF-A_new (m),offset_Roy_final,CCSF-A_Royfinal (m),Age(ka),Cibicidoides δ13C,Cibicidoides δ18O
U1337,C,12,X,1,48,Cibicidoides ,240.98,31.66,272.64,12229.8,0.485,2.153
U1337,C,12,X,1,56,Cibicidoides ,241.06,31.66,272.72,12233.4,0.396,2.190
U1337,C,12,X,1,64,Cibicidoides ,241.14,31.66,272.8,12236.9,0.377,2.016
U1337,C,12,X,1,72,Cibicidoides ,241.22,31.66,272.88,12240.5,0.250,2.060
U1337,C,12,X,1,80,Cibicidoides ,241.3,31.66,272.96,12244.0,0.659,2.186
U1337,C,12,X,1,88,Cibicidoides ,241.38,31.66,273.04,12247.5,0.496,2.196
U1337,C,12,X,1,96,Cibicidoides ,241.46,31.66,273.12,12251.1,0.549,2.294
U1337,C,12,X,1,104,Cibicidoides ,241.54,31.66,273.2,12254.6,0.738,2.406
U1337,C,12,X,1,112,Cibicidoides ,241.62,31.66,273.28,12258.2,0.694,2.274
U1337,C,12,X,1,120,Cibicidoides ,241.7,31.66,273.36,12261.7,0.605,2.424
U1337,C,12,X,1,128,Cibicidoides ,241.78,31.66,273.44,12265.2,0.685,2.093
U1337,C,12,X,1,136,Cibicidoides ,241.86,31.66,273.52,12268.8,0.549,2.061
U1337,C,12,X,1,144,Cibicidoides ,241.94,31.66,273.6,12272.3,0.751,2.142
U1337,C,12,X,2,0,Cibicidoides ,242,31.66,273.66,12275.0,0.604,1.984
U1337,C,12,X,2,8,Cibicidoides ,242.08,31.66,273.74,12278.4,0.574,2.000
U1337,C,12,X,2,16,Cibicidoides ,242.16,31.66,273.82,12281.7,0.577,2.042
U1337,C,12,X,2,24,Cibicidoides ,242.24,31.66,273.9,12285.0,0.719,2.087
U1337,C,12,X,2,32,Cibicidoides ,242.32,31.66,273.98,12288.3,0.708,2.277
U1337,C,12,X,2,40,Cibicidoides ,242.4,31.66,274.06,12291.6,0.858,2.128
U1337,C,12,X,2,48,Cibicidoides ,242.48,31.66,274.14,12294.9,0.797,2.333
U1337,C,12,X,2,56,Cibicidoides ,242.56,31.66,274.22,12298.2,0.784,2.266
U1337,C,12,X,2,64,Cibicidoides ,242.64,31.66,274.3,12301.5,0.574,2.400
U1337,C,12,X,2,72,Cibicidoides ,242.72,31.66,274.38,12304.8,0.699,2.189
U1337,C,12,X,2,80,Cibicidoides ,242.8,31.66,274.46,12308.1,0.705,2.295
U1337,C,12,X,2,88,Cibicidoides ,242.88,31.66,274.54,12311.4,0.524,2.250
U1337,C,12,X,2,96,Cibicidoides ,242.96,31.66,274.62,12314.7,0.434,2.140
U1337,C,12,X,2,104,Cibicidoides ,243.04,31.66,274.7,12318.0,0.487,2.056
U1337,C,12,X,2,112,Cibicidoides ,243.12,31.66,274.78,12322.5,0.566,2.120
U1337,C,12,X,2,120,Cibicidoides ,243.2,31.66,274.86,12326.9,0.628,2.282
U1337,C,12,X,2,128,Cibicidoides ,243.28,31.66,274.94,12331.3,0.791,2.442
U1337,C,12,X,2,136,Cibicidoides ,243.36,31.66,275.02,12335.8,0.922,2.294
U1337,C,12,X,2,144,Cibicidoides ,243.44,31.66,275.1,12340.2,0.839,2.381
U1337,C,12,X,3,0,Cibicidoides ,243.5,31.66,275.16,12343.5,0.751,2.218
U1337,C,12,X,3,8,Cibicidoides ,243.58,31.66,275.24,12348.0,0.675,2.303
U1337,C,12,X,3,16,Cibicidoides ,243.66,31.66,275.32,12352.4,0.719,2.189
U1337,C,12,X,3,24,Cibicidoides ,243.74,31.66,275.4,12356.9,0.742,2.214
U1337,C,12,X,3,32,Cibicidoides ,243.82,31.66,275.48,12361.2,0.512,2.087
U1337,C,12,X,3,40,Cibicidoides ,243.9,31.66,275.56,12363.2,0.641,2.224
