"age","d13c","auth"
12229.8,0.485,"Tian"
12233.4,0.396,"Tian"
12236.9,0.377,"Tian"
12240.5,0.25,"Tian"
12244,0.659,"Tian"
12247.5,0.496,"Tian"
12251.1,0.549,"Tian"
12254.6,0.738,"Tian"
12258.2,0.694,"Tian"
12261.7,0.605,"Tian"
12265.2,0.685,"Tian"
12268.8,0.549,"Tian"
12272.3,0.751,"Tian"
12275,0.604,"Tian"
12278.4,0.574,"Tian"
12281.7,0.577,"Tian"
12285,0.719,"Tian"
12288.3,0.708,"Tian"
12291.6,0.858,"Tian"
12294.9,0.797,"Tian"
12298.2,0.784,"Tian"
12301.5,0.574,"Tian"
12304.8,0.699,"Tian"
12308.1,0.705,"Tian"
12311.4,0.524,"Tian"
12314.7,0.434,"Tian"
12318,0.487,"Tian"
12322.5,0.566,"Tian"
12326.9,0.628,"Tian"
12331.3,0.791,"Tian"
12335.8,0.922,"Tian"
12340.2,0.839,"Tian"
12343.5,0.751,"Tian"
12348,0.675,"Tian"
12352.4,0.719,"Tian"
12356.9,0.742,"Tian"
12361.2,0.512,"Tian"
12363.2,0.641,"Tian"
12365.1,0.806,"Tian"
12367,0.67,"Tian"
12369,0.647,"Tian"
12370.9,0.732,"Tian"
12372.8,0.747,"Tian"
12374.7,0.819,"Tian"
12376.7,0.64,"Tian"
12378.6,0.718,"Tian"
12380.5,0.772,"Tian"
12384.4,0.538,"Tian"
12386.3,0.844,"Tian"
12388.3,0.64,"Tian"
12389.7,0.563,"Tian"
12391.6,0.445,"Tian"
12393.6,0.607,"Tian"
12395.5,0.814,"Tian"
12398.1,0.609,"Tian"
12403.7,0.767,"Tian"
12409.3,0.819,"Tian"
12414.8,0.765,"Tian"
12420.4,0.857,"Tian"
12426,0.624,"Tian"
12431.6,0.645,"Tian"
12437.1,0.584,"Tian"
12440.6,0.757,"Tian"
12443.9,0.606,"Tian"
12447.2,0.761,"Tian"
12450.5,0.648,"Tian"
12453.8,0.68,"Tian"
12457.1,0.654,"Tian"
12460.5,0.699,"Tian"
12462.9,0.766,"Tian"
12466.3,0.769,"Tian"
12469.6,0.894,"Tian"
12472.9,0.939,"Tian"
12476.2,0.283,"Tian"
12479.5,0.898,"Tian"
12482.8,0.649,"Tian"
12486.1,0.026,"Tian"
12489.4,0.891,"Tian"
12492.7,0.815,"Tian"
12495.9,0.401,"Tian"
12499.2,0.858,"Tian"
12502.5,0.922,"Tian"
12505.8,0.694,"Tian"
12509.1,0.312,"Tian"
12512.4,0.776,"Tian"
12515.6,0.697,"Tian"
12517.7,0.955,"Tian"
12521,0.811,"Tian"
12524.4,0.83,"Tian"
12527.8,0.991,"Tian"
12531.2,0.884,"Tian"
12533.8,0.834,"Tian"
12537.2,0.948,"Tian"
12540.6,0.202,"Tian"
12544,0.862,"Tian"
12547.4,0.969,"Tian"
12550.8,0.693,"Tian"
12554.2,0.937,"Tian"
12557.7,0.776,"Tian"
12561,0.931,"Tian"
12563.4,0.932,"Tian"
12565.9,0.839,"Tian"
12568.3,0.894,"Tian"
12570.8,0.841,"Tian"
12573.2,0.904,"Tian"
12575.7,0.614,"Tian"
12578.1,0.883,"Tian"
12580.6,0.715,"Tian"
12583,0.91,"Tian"
12585.4,0.611,"Tian"
12587.3,0.797,"Tian"
12589.7,0.608,"Tian"
12592.2,0.947,"Tian"
12594.6,0.919,"Tian"
12597.1,0.79,"Tian"
12599.5,0.841,"Tian"
12601.9,0.844,"Tian"
12604.4,0.284,"Tian"
12606.8,0.963,"Tian"
12609.3,0.827,"Tian"
12611.7,0.98,"Tian"
12614.2,0.857,"Tian"
12616.6,0.717,"Tian"
12619.1,0.854,"Tian"
12621.5,0.729,"Tian"
12624,0.715,"Tian"
12626.4,0.613,"Tian"
12631.3,0.615,"Tian"
12643.4,0.393,"Tian"
12647.9,0.486,"Tian"
12656.8,0.782,"Tian"
12661.3,0.69,"Tian"
12665.7,0.659,"Tian"
12670.2,0.797,"Tian"
12674.6,0.772,"Tian"
12683.6,0.536,"Tian"
12689.2,0.758,"Tian"
12693.9,0.632,"Tian"
12696.6,0.598,"Tian"
12699.3,0.881,"Tian"
12702,0.838,"Tian"
12704.7,0.938,"Tian"
12707.4,0.869,"Tian"
12710.1,0.871,"Tian"
12712.8,0.647,"Tian"
12715.5,0.947,"Tian"
12718.2,0.832,"Tian"
12720.9,0.838,"Tian"
12723.6,0.875,"Tian"
12726.3,0.74,"Tian"
12729,0.856,"Tian"
12732.9,0.98,"Tian"
12737,0.908,"Tian"
12741.1,0.826,"Tian"
12745.2,0.888,"Tian"
12749.3,0.793,"Tian"
12752.4,0.612,"Tian"
12756.5,0.874,"Tian"
12760.6,0.76,"Tian"
12764.6,0.46,"Tian"
12768.4,0.837,"Tian"
12772.1,0.668,"Tian"
12775.9,0.656,"Tian"
12779.6,0.776,"Tian"
12783.4,0.753,"Tian"
12787.1,0.879,"Tian"
12790.9,0.588,"Tian"
12794.6,0.711,"Tian"
12798.4,0.779,"Tian"
12802.2,0.388,"Tian"
12805.9,0.638,"Tian"
12809.7,0.711,"Tian"
12812.4,0.835,"Tian"
12815.1,0.689,"Tian"
12817.8,0.646,"Tian"
12819.8,0.792,"Tian"
12822.5,0.739,"Tian"
12825.2,0.757,"Tian"
12827.9,0.63,"Tian"
12830.6,0.518,"Tian"
12833.2,0.706,"Tian"
12835.9,0.693,"Tian"
12838.6,0.508,"Tian"
12841.3,0.591,"Tian"
12844,0.461,"Tian"
12846.7,0.587,"Tian"
12849.4,0.562,"Tian"
12853,0.586,"Tian"
12856.8,0.715,"Tian"
12860.5,0.456,"Tian"
12864.3,0.564,"Tian"
12868,0.768,"Tian"
12871.7,0.145,"Tian"
12875.5,0.669,"Tian"
12878.3,0.546,"Tian"
12882,0.677,"Tian"
12885.8,0.442,"Tian"
12889.5,0.971,"Tian"
12893.3,0.744,"Tian"
12896.3,0.675,"Tian"
12899,0.846,"Tian"
12901.6,0.927,"Tian"
12904.3,0.568,"Tian"
12906.9,0.769,"Tian"
12909.6,0.807,"Tian"
12912.2,0.752,"Tian"
12914.9,1.11,"Tian"
12917.5,0.909,"Tian"
12920.2,0.878,"Tian"
12922.9,0.91,"Tian"
12925.5,0.984,"Tian"
12928.2,0.305,"Tian"
12930.8,0.798,"Tian"
12932.9,0.865,"Tian"
12936.1,0.636,"Tian"
12939.4,0.949,"Tian"
12945.5,0.67,"Tian"
12948.8,0.88,"Tian"
12952,0.879,"Tian"
