"age","d18o","auth"
12229.8,2.153,"Tian"
12233.4,2.19,"Tian"
12236.9,2.016,"Tian"
12240.5,2.06,"Tian"
12244,2.186,"Tian"
12247.5,2.196,"Tian"
12251.1,2.294,"Tian"
12254.6,2.406,"Tian"
12258.2,2.274,"Tian"
12261.7,2.424,"Tian"
12265.2,2.093,"Tian"
12268.8,2.061,"Tian"
12272.3,2.142,"Tian"
12275,1.984,"Tian"
12278.4,2,"Tian"
12281.7,2.042,"Tian"
12285,2.087,"Tian"
12288.3,2.277,"Tian"
12291.6,2.128,"Tian"
12294.9,2.333,"Tian"
12298.2,2.266,"Tian"
12301.5,2.4,"Tian"
12304.8,2.189,"Tian"
12308.1,2.295,"Tian"
12311.4,2.25,"Tian"
12314.7,2.14,"Tian"
12318,2.056,"Tian"
12322.5,2.12,"Tian"
12326.9,2.282,"Tian"
12331.3,2.442,"Tian"
12335.8,2.294,"Tian"
12340.2,2.381,"Tian"
12343.5,2.218,"Tian"
12348,2.303,"Tian"
12352.4,2.189,"Tian"
12356.9,2.214,"Tian"
12361.2,2.087,"Tian"
12363.2,2.224,"Tian"
12365.1,2.124,"Tian"
12367,2.211,"Tian"
12369,2.185,"Tian"
12370.9,2.32,"Tian"
12372.8,2.285,"Tian"
12374.7,2.301,"Tian"
12376.7,2.293,"Tian"
12378.6,2.425,"Tian"
12380.5,2.358,"Tian"
12384.4,2.374,"Tian"
12386.3,2.354,"Tian"
12388.3,2.211,"Tian"
12389.7,2.295,"Tian"
12391.6,2.199,"Tian"
12393.6,2.172,"Tian"
12395.5,2.108,"Tian"
12398.1,2.073,"Tian"
12403.7,2.282,"Tian"
12409.3,2.228,"Tian"
12414.8,2.215,"Tian"
12420.4,2.173,"Tian"
12426,2.185,"Tian"
12431.6,2.142,"Tian"
12437.1,2.067,"Tian"
12440.6,2.131,"Tian"
12443.9,2.25,"Tian"
12447.2,2.297,"Tian"
12450.5,2.189,"Tian"
12453.8,2.386,"Tian"
12457.1,2.384,"Tian"
12460.5,2.451,"Tian"
12462.9,2.342,"Tian"
12466.3,2.466,"Tian"
12469.6,2.243,"Tian"
12472.9,2.364,"Tian"
12476.2,2.494,"Tian"
12479.5,2.191,"Tian"
12482.8,2.303,"Tian"
12486.1,2.751,"Tian"
12489.4,2.245,"Tian"
12492.7,2.263,"Tian"
12495.9,2.425,"Tian"
12499.2,2.362,"Tian"
12502.5,2.386,"Tian"
12505.8,2.424,"Tian"
12509.1,2.423,"Tian"
12512.4,2.374,"Tian"
12515.6,2.538,"Tian"
12517.7,2.463,"Tian"
12521,2.341,"Tian"
12524.4,2.452,"Tian"
12527.8,2.477,"Tian"
12531.2,2.447,"Tian"
12533.8,2.299,"Tian"
12537.2,2.337,"Tian"
