"depth","age","d13c","d18o","auth"
272.64,12229.8,0.485,2.153,"Tian"
272.72,12233.4,0.396,2.19,"Tian"
272.8,12236.9,0.377,2.016,"Tian"
272.88,12240.5,0.25,2.06,"Tian"
272.96,12244,0.659,2.186,"Tian"
273.04,12247.5,0.496,2.196,"Tian"
273.12,12251.1,0.549,2.294,"Tian"
273.2,12254.6,0.738,2.406,"Tian"
273.28,12258.2,0.694,2.274,"Tian"
273.36,12261.7,0.605,2.424,"Tian"
273.44,12265.2,0.685,2.093,"Tian"
273.52,12268.8,0.549,2.061,"Tian"
273.6,12272.3,0.751,2.142,"Tian"
273.66,12275,0.604,1.984,"Tian"
273.74,12278.4,0.574,2,"Tian"
273.82,12281.7,0.577,2.042,"Tian"
273.9,12285,0.719,2.087,"Tian"
273.98,12288.3,0.708,2.277,"Tian"
274.06,12291.6,0.858,2.128,"Tian"
274.14,12294.9,0.797,2.333,"Tian"
274.22,12298.2,0.784,2.266,"Tian"
274.3,12301.5,0.574,2.4,"Tian"
274.38,12304.8,0.699,2.189,"Tian"
274.46,12308.1,0.705,2.295,"Tian"
274.54,12311.4,0.524,2.25,"Tian"
274.62,12314.7,0.434,2.14,"Tian"
274.7,12318,0.487,2.056,"Tian"
274.78,12322.5,0.566,2.12,"Tian"
274.86,12326.9,0.628,2.282,"Tian"
274.94,12331.3,0.791,2.442,"Tian"
275.02,12335.8,0.922,2.294,"Tian"
275.1,12340.2,0.839,2.381,"Tian"
275.16,12343.5,0.751,2.218,"Tian"
275.24,12348,0.675,2.303,"Tian"
275.32,12352.4,0.719,2.189,"Tian"
275.4,12356.9,0.742,2.214,"Tian"
275.48,12361.2,0.512,2.087,"Tian"
275.56,12363.2,0.641,2.224,"Tian"
275.64,12365.1,0.806,2.124,"Tian"
275.72,12367,0.67,2.211,"Tian"
275.8,12369,0.647,2.185,"Tian"
275.88,12370.9,0.732,2.32,"Tian"
275.96,12372.8,0.747,2.285,"Tian"
276.04,12374.7,0.819,2.301,"Tian"
276.12,12376.7,0.64,2.293,"Tian"
276.2,12378.6,0.718,2.425,"Tian"
276.28,12380.5,0.772,2.358,"Tian"
276.44,12384.4,0.538,2.374,"Tian"
276.52,12386.3,0.844,2.354,"Tian"
276.6,12388.3,0.64,2.211,"Tian"
276.66,12389.7,0.563,2.295,"Tian"
276.74,12391.6,0.445,2.199,"Tian"
276.82,12393.6,0.607,2.172,"Tian"
276.9,12395.5,0.814,2.108,"Tian"
276.98,12398.1,0.609,2.073,"Tian"
277.06,12403.7,0.767,2.282,"Tian"
277.14,12409.3,0.819,2.228,"Tian"
277.22,12414.8,0.765,2.215,"Tian"
277.3,12420.4,0.857,2.173,"Tian"
277.38,12426,0.624,2.185,"Tian"
277.46,12431.6,0.645,2.142,"Tian"
277.54,12437.1,0.584,2.067,"Tian"
277.62,12440.6,0.757,2.131,"Tian"
277.7,12443.9,0.606,2.25,"Tian"
277.78,12447.2,0.761,2.297,"Tian"
277.86,12450.5,0.648,2.189,"Tian"
277.94,12453.8,0.68,2.386,"Tian"
278.02,12457.1,0.654,2.384,"Tian"
278.1,12460.5,0.699,2.451,"Tian"
278.16,12462.9,0.766,2.342,"Tian"
278.24,12466.3,0.769,2.466,"Tian"
278.32,12469.6,0.894,2.243,"Tian"
278.4,12472.9,0.939,2.364,"Tian"
278.48,12476.2,0.283,2.494,"Tian"
278.56,12479.5,0.898,2.191,"Tian"
278.64,12482.8,0.649,2.303,"Tian"
278.72,12486.1,0.026,2.751,"Tian"
278.8,12489.4,0.891,2.245,"Tian"
278.88,12492.7,0.815,2.263,"Tian"
278.96,12495.9,0.401,2.425,"Tian"
279.04,12499.2,0.858,2.362,"Tian"
279.12,12502.5,0.922,2.386,"Tian"
279.2,12505.8,0.694,2.424,"Tian"
279.28,12509.1,0.312,2.423,"Tian"
